Day,Time Slot,Acitivity,Focus,Hours,,,,,
,,,,,,,,,
Monday,7:00 AM - 8:00 AM,Gym + Morning Routine + Breakfast,Personal well-being,,,,,,
,8:00 AM - 9:00 AM,,,,,,,,
,10:30 AM - 11:30 AM,School Project,Data Product Design & Taskconnect,,,,,,
,11:30 AM - 12:30 AM,Break,,,,,,,
,12:30 AM - 13:30 PM,School Work,Cloud Computing,,,,,,
,13:30 PM - 15:00 PM,Lunch,,,,,,Computational Math,
,3:00 PM - Day End,Lecture,,,,,,School Project Deep Work,Data Product Design
,,,,,,,,Personal Projects,Fraud Detection
Tuesday,7:00 AM - 8:00 AM,Morning Routine + Breakfast,Personal well-being,,,,,Harvad Data Science,
,8:00 AM - 9:00 AM,,,,,,,Aws Cloud Practisioner,
,9:00 AM - 3:00 PM,Lectures & Commute,,,,,,Fraud Detection,
,3:00 PM - Day End,Half-Day Off,,,,,,,
,,,,,,,,,
Wednesday,7:00 AM - 8:00 AM,Gym,Personal well-being,,,,,,
,8:00 AM - 10:30 AM,Morning Routine + Breakfast,,,,,,,
,10:30 AM - 11:30 AM,School Project Deep Work,Data Product Design or Driving License,,,,,,
,11:30 AM - 12:30 PM,Break,,,,,,,
,12:30 AM - 1:30 PM,School Project Deep Work,Cloud Computing,,,,,,
,1:30 PM - 2:30 PM,Lunch,,,,,,,
,2:30 PM - 3:30 PM,Assignments,Computational Maths Assignment,,,,,,
,3:30 PM - 4:30 PM,Break,,,,,,,
,4:30 PM - 5:30 PM,Personal Projects,TaskConnect,,,,,,
,5:30 PM - 6:30 PM,Dinner / Relax,,,,,,,
,6:30 PM - 7:30 PM,Tutorials,Aws Cloud Practisioner,,,,,,
,7:30 PM - 8:30 PM,Break,,,,,,,
,,,,,,,,,
Thursday,7:00 AM - 8:00 AM,Gym,Personal well-being,,,,,,
,8:00 AM - 10:30 AM,Morning Routine + Breakfast,,,,,,,
,10:30 AM - 11:30 AM,School Project Deep Work,Cloud Computing,,,,,,
,11:30 AM - 12:30 PM,Break,,,,,,,
,12:30 AM - 1:30 PM,Personal Projects,Fraud Detection,,,,,,
,1:30 PM - 2:30 PM,Lunch,,,,,,,
,2:30 PM - 3:30 PM,Assignments,Computational Maths Lab,,,,,,
,3:30 PM - 4:30 PM,Break,,,,,,,
,4:30 PM - 5:30 PM,Personal Projects,TaskConnect,,,,,,
,5:30 PM - 6:30 PM,Dinner / Relax,,,,,,,
,6:30 PM - 7:30 PM,Tutorials,Harvad Data Science,,,,,,
,7:30 PM - 8:30 PM,Break,,,,,,,
,,,,,,,,,
Friday,7:00 AM - 8:00 AM,Gym,Personal well-being,,,,,,
,8:00 AM - 10:30 AM,Morning Routine + Breakfast,,,,,,,
,10:30 AM - 11:30 AM,School Work,Computational Maths ,,,,,,
,11:30 AM - 12:30 PM,Break,,,,,,,
,12:30 AM - 1:30 PM,School Project Deep Work,Data Product Design,,,,,,
,1:30 PM - 2:30 PM,Lunch,,,,,,,
,2:30 PM - 3:30 PM,Assignments,Cloud Computing,,,,,,
,3:30 PM - 4:30 PM,Break,,,,,,,
,4:30 PM - 5:30 PM,Personal Projects,TaskConnect,,,,,,
,5:30 PM - 6:30 PM,Dinner / Relax,,,,,,,
,6:30 PM - 7:30 PM,Tutorials,Harvad Data Science,,,,,,
,7:30 PM - 8:30 PM,Break,,,,,,,
,,,,,,,,,
Saturday,7:00 AM - 8:00 AM,Gym,Personal well-being,,,,,,
,8:00 AM - 10:30 AM,Morning Routine + Breakfast,,,,,,,
,10:30 AM - 11:30 AM,Personal Project Deep Work,TaskConnect,,,,,,
,11:30 AM - 12:30 AM,Break,,,,,,,
,12:30 PM - 1:30 PM,Personal Project Deep Work,Fraud Detection,,,,,,
,1:30 PM - Day End,Half-Day Off,,,,,,,
,,,,,,,,,
Sunday,7:00 AM - 8:00 AM,Morning Routine + Breakfast,Personal well-being,,,,,,
,8:00 AM - 10:30 AM,,,,,,,,
,10:30 AM - 11:30 AM,Weekly Review,Assess Progress,,,,,,
,11:30 AM - 12:30 PM,Break,,,,,,,
,12:30 AM - 1:30 PM,Tutorials,Harvad Data Science,,,,,,
,1:30 PM - 2:30 PM,Lunch,,,,,,,
,2:30 PM - 3:30 PM,Catch-up / Flex Time,Unfinished labs or projects,,,,,,
,3:30 PM - 4:30 PM,Break,,,,,,,
,4:30 PM - 5:30 PM,Catch-up / Flex Time,Unfinished labs or projects,,,,,,
,5:30 PM - 6:30 PM,Dinner / Relax,,,,,,,
,6:30 PM - 7:30 PM,Prep Next Week,Set goals,,,,,,
,7:30 PM - 8:30 PM,,,,,,,,
